ticker,score,confidence,hedge_fund_buy_count,insider_buy_count,congress_buy_count,hedge_fund_sell_count,insider_sell_count,congress_sell_count
QCOM,1.5,Medium,1,0,0,0,0,0
PDD,1.5,Medium,1,0,0,0,0,0
KNF,1.5,Medium,1,0,0,0,0,0
UNP,1.5,Medium,1,0,0,0,0,0
RKLB,1.5,Medium,1,0,0,0,0,0
ELV,1.5,Medium,1,0,0,0,0,0
SLMT,1.5,Medium,1,0,0,0,0,0
QSR,1.5,Medium,1,0,0,0,0,0
BLSH,1.5,Medium,1,0,0,0,0,0
CPNG,1.5,Medium,1,0,0,0,0,0
WHR,1.5,Medium,1,0,0,0,0,0
DPZ,1.5,Medium,1,0,0,0,0,0
GPC,1.5,Medium,1,0,0,0,0,0
SIRI,1.5,Medium,1,0,0,0,0,0
TER,1.5,Medium,1,0,0,0,0,0
KWEB,1.5,Medium,1,0,0,0,0,0
AXP,2.0,Medium,0,0,4,0,0,2
CB,1.5,Medium,1,0,0,0,0,0
NVDA,1.5,Medium,1,0,0,0,0,0
GEV,1.5,Medium,1,0,0,0,0,0
ENSG,1.5,Medium,1,0,0,0,0,0
BMNRD,1.5,Medium,1,0,0,0,0,0
AVGO,5.0,Medium,2,0,4,0,0,2
MSFT,2.5,Medium,1,0,1,0,0,0
TSM,2.0,Medium,0,0,2,0,0,0
GOOG,3.0,Medium,3,0,0,1,0,0
BITB,2.0,Medium,0,0,2,0,0,0
EXP,1.5,Medium,1,0,0,0,0,0
LEN,1.5,Medium,1,0,0,0,0,0
MSCI,1.5,Medium,1,0,0,0,0,0
APP,1.5,Medium,1,0,0,0,0,0
AMAT,1.5,Medium,1,0,0,0,0,0
PGNY,0.7,Low,0,1,0,0,1,0
LINE,0.7,Low,0,1,0,0,1,0
CTRI,0.7,Low,0,1,0,0,1,0
RPD,0.7,Low,0,1,0,0,1,0
VRCA,0.7,Low,0,1,0,0,1,0
GRX.G,0.7,Low,0,1,0,0,1,0
REZI,0.7,Low,0,1,0,0,1,0
BHC,0.7,Low,0,1,0,0,1,0
VANI,0.7,Low,0,1,0,0,1,0
PRMB,0.7,Low,0,1,0,0,1,0
ORGO,0.7,Low,0,1,0,0,1,0
ALRM,0.7,Low,0,1,0,0,1,0
LUNR,0.7,Low,0,1,0,0,1,0
LSCC,0.7,Low,0,1,0,0,1,0
TELA,0.7,Low,0,1,0,0,1,0
LNPIX,0.7,Low,0,1,0,0,1,0
GEF,0.7,Low,0,1,0,0,1,0
UPST,0.7,Low,0,1,0,0,1,0
CLVT,1.4,Low,0,2,0,0,2,0
RUM,0.7,Low,0,1,0,0,1,0
BNTC,0.7,Low,0,1,0,0,1,0
AMD,0.5,Low,1,0,1,0,0,2
FI,0.5,Low,1,0,0,0,0,1
ACVA,0.7,Low,0,1,0,0,1,0
TDG,0.7,Low,0,1,0,0,1,0
ET,0.7,Low,0,1,0,0,1,0
EXEL,0.7,Low,0,1,0,0,1,0
VAC,0.7,Low,0,1,0,0,1,0
STAA,0.7,Low,0,1,0,0,1,0
DASH,0.7,Low,0,1,0,0,1,0
WOLF,0.7,Low,0,1,0,0,1,0
BLLN,0.7,Low,0,1,0,0,1,0
GTE,0.7,Low,0,1,0,0,1,0
PLUR,0.7,Low,0,1,0,0,1,0
ANVS,0.7,Low,0,1,0,0,1,0
SPRU,0.7,Low,0,1,0,0,1,0
CEPV,0.7,Low,0,1,0,0,1,0
BABA,0.5,Low,1,0,1,0,0,2
BFLY,0.7,Low,0,1,0,0,1,0
FRSH,1.4,Low,0,2,0,0,2,0
NEXT,3.5,Low,0,5,0,0,5,0
ALMS,3.5,Low,0,5,0,0,5,0
LAB,2.8,Low,0,4,0,0,4,0
CNS,2.0999999999999996,Low,0,3,0,0,3,0
GLOO,2.0999999999999996,Low,0,3,0,0,3,0
BHVN,2.0999999999999996,Low,0,3,0,0,3,0
EVMN,2.0999999999999996,Low,0,3,0,0,3,0
RIG,2.0999999999999996,Low,0,3,0,0,3,0
BLND,2.0999999999999996,Low,0,3,0,0,3,0
BEN,1.4,Low,0,2,0,0,2,0
MSM,1.4,Low,0,2,0,0,2,0
BETA,1.4,Low,0,2,0,0,2,0
BATRA,1.4,Low,0,2,0,0,2,0
BX,0.7,Low,0,1,0,0,1,0
ANNX,1.4,Low,0,2,0,0,2,0
RLMD,0.7,Low,0,1,0,0,1,0
ASA,1.4,Low,0,2,0,0,2,0
HYMC,1.4,Low,0,2,0,0,2,0
VACI,0.7,Low,0,1,0,0,1,0
SRZN,0.7,Low,0,1,0,0,1,0
ROP,0.7,Low,0,1,0,0,1,0
PROP,0.7,Low,0,1,0,0,1,0
TRDA,0.7,Low,0,1,0,0,1,0
NP,0.7,Low,0,1,0,0,1,0
MNRO,1.4,Low,0,2,0,0,2,0
DGICA,0.7,Low,0,1,0,0,1,0
TPC,0.7,Low,0,1,0,0,1,0
IKT,0.7,Low,0,1,0,0,1,0
ASST,0.7,Low,0,1,0,0,1,0
CSCO,3.0,High,0,0,3,0,0,0
SNPS,3.0,High,2,0,0,0,0,0
DELL,3.0,High,0,0,3,0,0,0
GS,3.0,High,0,0,3,0,0,0
TSLA,3.0,High,2,0,0,0,0,0
GOOGL,6.0,High,4,0,0,0,0,0
